data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
"Hotel perfeito para uma pernoite.""";Tampa do sanitário estava danificada, como foi apenas uma pernoite não solicitei a troca. Precisei solicitar toalha de banho e cobertor pois não constava na acomodação. Café da manhã com poucas opções.;8;;;;;;;;;;
30 de outubro de 2024;Sempre gosto de me hospedar neste hotel por conta do conforto e um preço bem acessível.;Preço acessível e conforto;Muitos mendigos próximo e acesso a praia;8;;;;;;;;
30 de outubro de 2024;Boa estadia com preço acessível e muito conforto;conforto e preço;Poucas opções no café da manhã;8;;;;;;;;
21 de outubro de 2024;Boa pelos funcionários que ali estão!;Localização e custo benefício;Acredito que o café poderia ser mais sortido, os 3 dias foram as mesmas coisas sempre. Só foi oferecido 2 tipos de frutas e sempre cuscuz, ovo mexido e salchicha.;;;;;;;;;
"Sem opções!""";7;;;;;;;;;;;
18 de outubro de 2024;A boa localização não compensou a péssima cama;Localização muito boa;Cama extremamente desconfortável;6;;;;;;;;
17 de outubro de 2024;Bom;Do preço da hospedagem, paguei 158,00 no dia 04/10. Tentei me hospedar no dia 15/10 e hoje o preço está elevado. Infelizmente não poderei me hospedar.;;7;;;;;;;;
9 de outubro de 2024;Muito bom;Localização;Cama de casal estava o Box se separando o tempo todo , chuveiro sem esquentar;8;;;;;;;;
3 de outubro de 2024;Satisfatório;Localização, estrutura, comodidade, e estrutura dos quartos.;Não tinha lençol e toalhas, pedi duas vezes e não recebi, sorte que tinha levado na mala, o cartão pra abrir a porta não funcionava, eu tinha que descer toda vez e chamar a recepção. Se eu fosse lá em baixo, toda vez tinha que autorizar o cartão. No mais atendeu o esperado.;6;;;;;;;;
1º de outubro de 2024;Satisfatório;;Cama ruim ;;;;;;;;;
Só tinha um lençol disponível ;;;;;;;;;;;;
"Não tinha toalha no banheiro""";6;;;;;;;;;;;
29 de setembro de 2024;Poucas Toalhas de banho;Localização;Estacionamento pequeno, não tem vagas para todos, porém tem um estacionamento privativo com custo na rua ao lado e e. frente ao hotel tem uma até pública tranquila.;;;;;;;;;
O hotel parece estar com pouca toalhas de banho;" o que tem que esperar sempre chegarem limpas da lavanderia.""";6;;;;;;;;;;
23 de setembro de 2024;Foi legal, poderia ter sido melhor;Do chuveiro elétrico, da TV a cabo, a opção de ter disponibilidade de bebidas no frigobar, horário de café da manhã, só acho que deveria ter mais opções de pratos que não fossem tão regional.;Box muito pequeno, a falta de um espelho no quarto, principalmente as mulheres sentem falta no momento de se arrumar e o barulho, do quarto dar de ouvir muito barulho dos corredores e do quarto ao lado a depender do movimento.;7;;;;;;;;
18 de setembro de 2024;Razoável, por ser o mais barato;A localização, por ser em boa viagem fica próximo a muitos comércios bons. Tem uma MCdonalds bem do lado. O café da manhã foi satisfatório e organizado.;O quarto que fiquei era muito simples e pouco confortável. A pia do banheiro tinha a torneira que não ficava exatamente na pia, ela era muito curta e quando ia lavar as mãos ou escovar batia na pia. Na frente tem um canal muito fedido e de noite tem muito barulho de carros e motos atrapalhando o sono. A porta era chave convencional e a janela era bem pequena com pouca vista para a rua.;6;;;;;;;;
16 de setembro de 2024;Satisfatório;Hospedagem boa e próximo;Funcionários não sabem informar como chegar nas ruas próximo ao hotel;6;;;;;;;;
14 de setembro de 2024;Bem razoável;Do atendimento dos funcionários;Toalha velha e aí 1 só pra duas pessoas, torneira pingando , barulho horrível do exaustor do banheiro , móveis bem desgastados;7;;;;;;;;
14 de setembro de 2024;Foi ótimo no geral;Localização é muito boa, o conforto é bom pelo preço que se paga, poderia melhorar o conforto e aumentar um pouco o valor.;Quarta estava pequeno pra quantidade de camas.;8;;;;;;;;
12 de setembro de 2024;Custo beneficio;Custo-benefício.Bom café da manhã.Localização.;Não tem estacionamento do proprio Hotel,nem piscina.Para os que chegaram tarde,estender o horario do check out.No banheiro não tem estoupa para os pes.;8;;;;;;;;
11 de setembro de 2024;Volto sempre. Gosto muito de ficar no Vela Branca.;localização;horário do café da manhã poderia começar mais cedo.;8;;;;;;;;
9 de setembro de 2024;Muito bom;Localização excelente e todos os funcionários são ótimos. Recepcionista Andreza me recebeu muito bem na parte da tarde;Lâmpada do banheiro queimada, ou seja, banheiro sem luz;8;;;;;;;;
8 de setembro de 2024;Boa localização, próximo a praia.;Localização, ambiente.;Alguns funcionários da recepção são irônicos. Como se estivessem fazendo um favor. .;8;;;;;;;;
7 de setembro de 2024;Muito bom;Localização, funcionários educados e café da manhã variado;;8;;;;;;;;
5 de setembro de 2024;Bom pelo preço, mas falta bastante para ser excepcional;Funcionários simpáticos, tem maleiro para ficarmos a vontade mesmo antes ou depois do chekin/ checkout, excelente localização, perto da praia, do shopping, restaurantes e etc, café da manhã não é dos melhores, mas estava ok.;Quarto com cheiro forte como se a janela nunca fosse aberta, lençóis pinicavam um pouco e causavam coceira, banheiro sem janela, apenas ventilação mecânica bem barulhenta. Sofá na recepção é uma vergonha, além de extremamente sujo, afunda tudo, não dá pra permanecer sentado 20 minutos sem sentir dor nas costas.;6;;;;;;;;
4 de setembro de 2024;Boa estadia levando em consideração o custo benefício;Perto do aeroporto, quarto limpo, funcionários atenciosos.;Cheiro bem forte de esgoto na recepção do hotel.;7;;;;;;;;
4 de setembro de 2024;Satisfatório;;Acomodação antiga;6;;;;;;;;
3 de setembro de 2024;Confortável;Localização, café da manhã com boas opções. Funcionários simpáticos e educados.;Fez falta uma toalha de piso pra banheiro e a cortina blackout não veda 100%. Talvez na reforma (que parece q está sendo feita no hotel) deve melhorar.;;;;;;;;;
Obs.: ;;;;;;;;;;;;
No meu penúltimo dia deixei o cartão de não perturbe na porta pois na noite não consegui dormir direito e mesmo com o cartão na porta me ligaram no quarto perguntando se queria limpeza do quarto; ou seja;" me acordaram.""";8;;;;;;;;;
1º de setembro de 2024;Bom;Uma boa opção para quem não pode gastar muito;;7;;;;;;;;
30 de agosto de 2024;Boa na medida do possivel;Otima localizaçao, . cafe da manha razoavel faltou uma tapioca e a sanduicheira deveria ser mais perto da mesa..;infelizmente devido ha um problema com a lavanderia não forneceram toalhas, a porta do banheiro nao fechava parece que alguem arrombou ela, o box do banheiro tava quebrado parece que a mesma pessoa que arrombou o banheiro quebrou ela, tinha aquelas baratas pequenas no quarto infelizmente...;8;;;;;;;;
29 de agosto de 2024;Bom;Custo benefício bom.;Banheiro alaga ao usar o chuveiro. Não tem Box e o banheiro fica todo molhado. A mesa do quarto poderia ser melhor.;7;;;;;;;;
21 de agosto de 2024;A desejar;A localização ficou próximo de onde queríamos. Check um rápido!;Senti que as recepcionistas poderiam melhorar o atendimento, uma cara de mal vontade parece até que não estão sendo bem pagas! Em relação ao quarto foi triplo e só tinha 1 toalha, tudo bem que levamos as nossas…mas pela lógica deveriam ter 3. A pia do banheiro pingou a estadia inteira e a janela do quarto estava quebrada. O café infelizmente deixou a desejar demais, as únicas opções que salvaram foram as frutas…o cuscuz tava extremamente ressecado, assim como bolos e afins, dava a parecer que eram velhos.;6;;;;;;;;
20 de agosto de 2024;bom custo beneficio;café da manha bom, poderia iniciar mais cedo principalmente em função de quem precisa sair em viagem;Limpeza do quarto desejável, toalhas desejáveis;6;;;;;;;;
13 de agosto de 2024;Satisfatório. Mas pode melhorar.;A localização é boa . Atendimento dos funcionários bom . Solícitos e simpáticos .;Banheiro, chão todo molhado e sem tapete . Pedi na recepção, disseram que iriam enviar. Anoiteceu e não enviaram. Abordei uma funcionária que estava limpando um quarto e pedi. Pois estava com meu filho e fiquei com medo do mesmo escorregar. Ela me informou que estavam sem tapetes no momento.Nem pano de chão . Devido ao serviço de lavagem.;6;;;;;;;;
13 de agosto de 2024;Bom;localização boa.;Tem muito mofo e o banheiro é bem apertado.;7;;;;;;;;
12 de agosto de 2024;Custo benefício;Localização;Cama deveria ser de casal ao invés de 2 de solteiro;7;;;;;;;;
12 de agosto de 2024;Boa;Atendimento;Café,ter que pagar estacionamento;8;;;;;;;;
5 de agosto de 2024;Satisfatório;;Banheiro muito velho.;;;;;;;;;
"Cama parece um barco""";6;;;;;;;;;;;
30 de julho de 2024;Bom;Localização;Tive que trocar de quarto por conta do barulho do ar-condicionado;7;;;;;;;;
29 de julho de 2024;Pelo valor que paguei valeu super a pena.;Bem localizado, a anfitriã bem solicita, limpeza impecável.;;8;;;;;;;;
29 de julho de 2024;Satisfatório;Serviço de garagem e café da manhã Não satisfatórios;Serviço de garagem e Café da manhã;6;;;;;;;;
29 de julho de 2024;Bom;A localização do hotel é muito boa e gosto bastante de ficar lá. A equipe é bem solícita e simpática.;O hotel estava bastante cheio. Por causa disso, o café da manhã estava bem movimentado e difícil de ter coisas e comida disponível, com muita coisa faltando (incluindo pratos e talheres) e com fila de espera.;7;;;;;;;;
28 de julho de 2024;Satisfatório;Boa localização em Boa Viagem.;Café da manhã fraco, o que chamam de suco de uva e de laranja não é nada mais do que um refresco aguado. As instalações necessitam dd cuidado, elevadores antigos e que demoram muito a chegar. Por vezes tive que descer de escada. O banheiro antigo, em alguns locais se vê ferrugem e a tomada do quarto não funciona. Faltam cobertores adequados.;6;;;;;;;;
26 de julho de 2024;Boa localização;Localização.;Café da manha simples, recepcionista do turno manhã mal-humorada.;6;;;;;;;;
26 de julho de 2024;Boa localização, mas o resto...;O chuveiro era bom e o atendimento também. A localização é perfeita.;O café da manhã é fraco, as camas são ruins e o estado de conservação dos quartos deixa a desejar.;7;;;;;;;;
25 de julho de 2024;Satisfatório;Café da manhã muito bom.;Não tinha uma recepção para os hóspedes, uma sala com sofá ou algo do tipo.;6;;;;;;;;
25 de julho de 2024;Ótimo custo benefício e fácil localização.;Camas super confortáveis, café da manhã bem servido e horário excelente.;Chuveiro quente estava quebrado;8;;;;;;;;
24 de julho de 2024;Muito bom;Ótima localização ! Ótimo custo benefício;;8;;;;;;;;
22 de julho de 2024;Muito bom;Localização, valor da diária, café da manhã. Check in e Check out super rápido!;Estava tudo dentro das avaliações anteriores. Nada a reclamar.;8;;;;;;;;
22 de julho de 2024;estava tudo bem,so apenas precisa melhorar mais coisas nos quartos, e nas opcoes no cafe da manha.;os atendentes foram bons, vezes faltava alguns itens da alimentação, como mamão, mas de modo geral foi bom.;a televisao poderia ter mais canais ,o ambiente do quarto teria que ser mais limpo e melhor, maior quantidade de limpeza nos quartos e mais opcoes no cafe da manha.;7;;;;;;;;
21 de julho de 2024;Um casal com 2 camas de solteiro, café da manhã ruim, muito barulho;Nada;De tudo;6;;;;;;;;
20 de julho de 2024;Ótima localização e café da manhã, mas o acesso ao quarto foi difícil e faltaram toalhas.;Localização, café da manhã com boas opções;Quarto tem uma escada em espiral para chegar até lá (dentro do próprio apartamento), o que dificulta o acesso. Roupas de cama finas, faltou toalha para todos os hóspedes.;6;;;;;;;;
19 de julho de 2024;Hotel com ótima localização, boa estrutura, mas precisando de pequenas manutenções.;Ao chegar no hotel às 2h, a portaria estava atenta e bastante solícita. o café da manhã era diversificado e reposto rapidamente. Houve uma duplicação no pagamento da estadia, prontamente resolvida pela administração via email. Muito prestativos.;Infelizmente, a limpeza deixou a desejar. O aspecto do quarto era terrível, com baratas vivas andando no chão, banheiro com areia de praia, sem número na porta e ar condicionado com manutenção a fazer.;6;;;;;;;;
18 de julho de 2024;Satisfatório;Localização e atendimento;Colchões ;;;;;;;;;
"Travesseiro e toalhas precisam ser renovados""";6;;;;;;;;;;;
17 de julho de 2024;Muito bom;Localização boa funcionários bem educados e preparados !!;Quarto antigo sem conforto a mesma coisa o banheiro poderia melhorar e o café da manhã muito simples e repetitivo !!! No mais tudo bem !;8;;;;;;;;
14 de julho de 2024;Razoável;Cortesia dos funcionários;Instalações internas muito antigas, acabamento ruim nos quartos.;;;;;;;;;
"Sucos do café da manhã artificiais.""";7;;;;;;;;;;;
9 de julho de 2024;Satisfatório;Da localização;Não tinha água, nem refrigerante nos quartos nem para solicitar na recepção;6;;;;;;;;
8 de julho de 2024;Satisfatório;Localização;Garagem com valor extra e apertadíssima. Mofo no forro do banheiro e paredes;6;;;;;;;;
6 de julho de 2024;Dificuldade em conseguir Nota Fiscal da hospedagem.;Localização;Esse hotel nao responde aos pedidos de emitir Nota Fiscal.;;;;;;;;;
Preciso dela para prestar contas no trabalho. Expliquei no check out e fui informado q receberia por email. Não recebi.;;;;;;;;;;;;
;;;;;;;;;;;;
Já liguei; anotaram meu email e de novo não enviaram.;;;;;;;;;;;
;;;;;;;;;;;;
"solicitei inclusive pelo sistema de mensagens daqui do booking. Mas mesmo assim não consigo resposta alguma.""";8;;;;;;;;;;;
3 de julho de 2024;Satisfatório;Custo X Benefício;Não oferecem o básico como sabonete, shampoo e condicionador.;6;;;;;;;;
1º de julho de 2024;Passeio em Recife;Bem localizado prego bom;Café muito simples;8;;;;;;;;
1º de julho de 2024;Hotel com aspecto desleixado;Café da manhã sem muitas opções e igual todos os dias;Plantonista noturno grosseiro e mal educado. Faltou cobertor e não havia para repor. Toalhas e tapete esgarçados, suportes de toalhas quebrados, acento do vaso sanitário quebrado;6;;;;;;;;
28 de junho de 2024;Ambiente tranquilo e com ótimo custo benefício.;Ótima localização e café da manhã delicioso! O custo benefício para um hotel em boa viagem foi espetacular!;O elevador e alguns itens do banheiro precisam de ajustes!;8;;;;;;;;
27 de junho de 2024;Bom;Ótimo;Da limpeza do quarto, e a privada estava vazando agua.;7;;;;;;;;
24 de junho de 2024;Bom custo benefício.;Localização.;Tinha um vazamento no banheiro.;6;;;;;;;;
22 de junho de 2024;Estadia mediana, porém suficiente para descanso;Acomodação mediana;Colchões não ortopédicos, travesseiros baixos, cabideiro sem cabide e freezer sem itens para comer (só tinha bebidas);8;;;;;;;;
21 de junho de 2024;Da reserva a estadia foi tudo muito rápido e a localização me surpreendeu;Localização e preço, atendeu as nossas espectativas;Poucos canais de TV a cabo;8;;;;;;;;
20 de junho de 2024;Muito bom;Acomodação com bom custo benefício.;Café da manhã faltando coisas, não por falta de opção, mais sim por falta de reposição.;8;;;;;;;;
20 de junho de 2024;Bom;Valores;As tomadas do quarto não são adaptadas.;7;;;;;;;;
19 de junho de 2024;Poucas noites.;A localização é muito boa, dá para fazer coisas a pé. A cama é bastante confortável também.;O prédio é mais antigo, então o chuveiro é básico. O café da manhã deixa a desejar, repetição de algumas coisas, o estacionamento é super estreito, chatinho de manobrar. Para poucas noites dá.;8;;;;;;;;
15 de junho de 2024;O hotel precisa melhorar suas instalações, melhor o café e colocar cama de casal.;A localização é bem no centro de recife, próximo a praia;O café não é bom, não tem cama de casal, colocam duas camas de solteiro que é péssimo para dormir, muito barulho;7;;;;;;;;
15 de junho de 2024;ESTACIONAMENTO;Gostei do atendimento dos funcionários;Não gostei muito das instalações do quarto, são de aspecto antigo, porém nada que atrapalhe o descansar.;;;;;;;;;
;;;;;;;;;;;;
Ps. O estacionamento do próprio hotel é pequeno e é necessário agendamento custando R$25.;;;;;;;;;;;;
"Caso já esteja lotado é fornecido um voucher para estacionar em um outro hotel cerca de 70 metros.""";6;;;;;;;;;;;
13 de junho de 2024;Bom;O custo benefício e a localização contribuem muito o meu retorno para esse hotel.;Falta uma delicadeza em Detalhes na manutenção, precisa de reparos finos.;7;;;;;;;;
13 de junho de 2024;Razoavel;Fica bem localizado;Pedi um quarto com cama de casal e eles apenas juntaram duas camas, dai ficou desconfortável.;6;;;;;;;;
11 de junho de 2024;Muito bom;Localização;Horário do café da manhã;;;;;;;;;
"Cama""";8;;;;;;;;;;;
8 de junho de 2024;Satisfatório;;Não gostei do hotel, primeiro que não disponibiliza de uma garagem para colocar o carro, precisei pagar o estacionamento. Quando chego no quarto não tem acessibilidade, precisamos subir escadas para ter acesso as camas. O banheiro quando fok9s tomar banho começou sair vazar água dentro do banheiro todo, as tomadas sem funcionar.;6;;;;;;;;
6 de junho de 2024;Apenas por uma noite foi razoável. Caso necessitasse de mais dias, teria solicitado troca do lençol.;Gostei da localização.;A limpeza deixou a desejar. O piso do banheiro estava encardido e parecia ter areia no piso. A fronha do travesseiro estava manchada com aspecto de suja. Forrei a toalha para usar.;7;;;;;;;;
4 de junho de 2024;Satisfatório;Excelente Localização;As toalhas de banho precisam ser melhores ;;;;;;;;;
O telefone no quarto não funcionava ;;;;;;;;;;;;
"Os sucos industrializados no Café da Manhã""";6;;;;;;;;;;;
29 de maio de 2024;Muito bom;Gostei da localização, ótima! Dá pra ir a pé a vários locais, inclusive a pracinha de Boa Viagem!;Algumas coisas...mas talvez não sejam importantes agora para uma primeira experiência!;;;;;;;;;
;;;;;;;;;;;;
Uma delas é que não haviam souveniers no banheiro da acomodação;" nem um sabonetinho!""";8;;;;;;;;;;
28 de maio de 2024;Bom;Atendimento;Café da manhã.;7;;;;;;;;
27 de maio de 2024;Excelente opção de pernoite.;Excelente para quem vai pernoitar para ir viajar no outro dia. O aeroporto é muito perto.;O predio em si está precisando de uma reforma.;7;;;;;;;;
