data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
24 de julho de 2024;Excepcional;Localização ótima para quem pretende resolver negócios em Boa Viagem ou ficar em uma região voltada para o turismo. Quarto espaçoso e aconchegante. Funcionários tiraram bem as dúvidas quando surgiam.;;10;;;;;;;;
23 de julho de 2024;Muito ruim;Da localização e de alguns funcionários.;De dois funcionários da recepção, do café da manhã, pouca opção e a mesma coisa todo dia, assim como a demora de reposição, uma única sanduícheira, o q ocorre filas, da estalagem, o primeiro quarto q fiquei alagava.;2;;;;;;;;
23 de julho de 2024;Feria frustrada;Da camareira;Não gostei pq fiquei 7 dias e fizeram uma reserva de uns 100 adolescentes descentes q simplesmente só faltaram colocar o prédio abaixo,ela abram e fechavam as portas o tempo inteiro,corriam no corredor,gritavam o elevador não funcionavam pois eles ficam brincando e parando o elevador,o café da manhã ,sujavam as coisas quase não tinham nada a 7:30 pois eles deviravam TD,estavam desde a recepção e em todos os andares um caos;1;;;;;;;;
22 de julho de 2024;Aceitável;Localização;Acomodação e café da manhã;5;;;;;;;;
22 de julho de 2024;Excepcional;Localização muito boa, sei que o quarto é econômico, mas não custava nada ajustar algumas coisas no quarto para ficar mais agradável;Localizacao;10;;;;;;;;
21 de julho de 2024;Estadia foi muito boa!;Otima localização e atendimento, foi o que nós achamos!;;9;;;;;;;;
19 de julho de 2024;Podia ser melhor;O hotel é ok pelo preço;A luz acabou durante minha estadia e o café da manhã é terrível. Elevadores péssimos. E o pessoal não é muito simpático.;5;;;;;;;;
19 de julho de 2024;Experiência maravilhosa. Simples, mas muito confortável e aconchegante.;Localidade e conforto.;;10;;;;;;;;
19 de julho de 2024;Pessima e profissionais despreparados;Nada!;Chuveiro não funcionava e a funcionária a invés de me dar outro quarto, disse que eu tinha que esperar o bombeiro hidráulico consertar, para conseguir tomar banho.;1;;;;;;;;
18 de julho de 2024;Experiência boa.;Do atendimento da recepção no dia da acomodação. ;;;;;;;;;;
Excelente às meninas;" sabem tratar bem os clientes.""";Do sofá que fica na recepção, péssimo.;9;;;;;;;;;
16 de julho de 2024;Fantástico;Acomodação e Alimentação;Faltaram sofás suficientes para a sala de espera, não tinha Manteiga no café da manhã, só Margarina;9;;;;;;;;
15 de julho de 2024;Horrivel;Nada;Chuveiro quente sem funcionar;;;;;;;;;
Estacionamento cheio; tive que estacionar na rua ;;;;;;;;;;;
Me colocaram primeiro num quarto que ja estava ocupado;;;;;;;;;;;;
Cafe da manha extremamente simples;" so o basico do basico""";3;;;;;;;;;;
15 de julho de 2024;Aceitável;boa localização;quarto bem antigo e sujo;5;;;;;;;;
15 de julho de 2024;Decepcionante;Apenas da localização;Os elevadores estão sempre quebrados temos que subir de e descer de escadas;4;;;;;;;;
14 de julho de 2024;Pelo preço da para dormir mas o café da manhã foi decepcionante.;Do ar condicionado;Café da manhã;5;;;;;;;;
13 de julho de 2024;Muito ruim;Apenas a ótima localização e o serviço do flat. O imóvel em si, precisa de um dono;A porta não abria. Para eu entrar, era necessário que viesse um funcionário da manutenção abrir a porta com uma alavanca ;;;;;;;;;
O controle da TV não funcionou ;;;;;;;;;;;;
O vaso do banheiro noa tinha tampa;;;;;;;;;;;;
Mandei várias mensagens para o administrador e fui ignorado;;;;;;;;;;;;
;;;;;;;;;;;;
Com certeza não voltarei mais;" não a esse imóvel""";2;;;;;;;;;;
12 de julho de 2024;Boa;Perto do aeroporto e com elevador;;9;;;;;;;;
10 de julho de 2024;Fraca;;Baratas no quarto, instação velha, chuveiro sem banho quente;4;;;;;;;;
9 de julho de 2024;Razoável, estrutura não é ruim, mas precisa de manutenção.;Os atendentes foram prestativos.;Sujeira, quando cheguei já vi que o piso da recepção estava sujo, o quarto tb estava empoeirado, o aparelho de telefone do ramal era preto, estava com pó branco, o banheiro não tinha box, nem cortina, molha o banheiro todo, o assento do vaso sanitario estava sujo. O café da manhã é compatível com o valor, mas a reposição é ineficiente, se for após as 8h já não tem muitas coisas.;5;;;;;;;;
9 de julho de 2024;A estadia foi pessima;O banheiro estava imundo, com um mal cheiro horrível.;Limpeza péssima, café da manhã muito básico e o elevador precisa de manutenção.;1;;;;;;;;
8 de julho de 2024;Precisas melhorar;Localização;Instalações precárias, toalhas velhas, falta de toalhas, camas velhas;4;;;;;;;;
7 de julho de 2024;Observação de quem reforma hotel.;Localização;Baratas nos quartos, mobiliário muito ruim, café muito básico.;3;;;;;;;;
4 de julho de 2024;Aceitável;Atendimento da recepção foi bom e café da manhã simples porém bom.;Reservei um quarto para 2 pessoas com cama de casal. Ao chegar no quarto vi que a cama não era de casal, eram duas camas solteirão juntas. Sentíamos a divisória entre as duas camas.;5;;;;;;;;
3 de julho de 2024;Pelo preço é razoável;A localização é boa;Café da manhã e as acomodações;5;;;;;;;;
2 de julho de 2024;Péssima experiência;Nada!;Quarto com baratas ;;;;;;;;;
Chuveiro quente não funciona;;;;;;;;;;;;
Quarto fedido ;;;;;;;;;;;;
"Roupas de cama ruins""";1;;;;;;;;;;;
1º de julho de 2024;Excelente custo benefício. Voltarei mais vezes;Cama muito boa, ar condicionado gelando e café da manhã;;10;;;;;;;;
30 de junho de 2024;Otimo custo-benefício, ótima localização.;Localização excelente em Boa Viagem! Café da manhã simples, mas muito bom! Excelente custo-benefício. Pelo valor, muito bem pago,;Perguntei se podia sair um pouquinho mais tarde, coisa de 1h ou 30 min, mas não havia tolerância.;9;;;;;;;;
29 de junho de 2024;horrorosa;;Atendimento horroroso, funcionários mal educados e chegamos depois do horario do check-in e nosso quarto não estava liberado ainda, por conta disso 5 pessoas tiveram que usar um banheiro e eles nao quiseram dar mais toalhas e ficaram com grosseria com minha família e o banheiro de um dos quartos o vaso tava sem tampa e não tinha nenhum kit higiênico nos banheiros, café da manhã tbm muito ruim e não tinha muitas opções e a estrutura do prédio é horrorosa, na porta do nosso quarto tinha uma pingueira.;1;;;;;;;;
29 de junho de 2024;prATICA E OBEJTIVA;atendimento do salao no restaurante, pratico objetivo;o entorno muita gente dependente quimico a prefeitura precisa fazer uma ação nao é problema od hotel;10;;;;;;;;
28 de junho de 2024;Péssima;Só do ar condicionado, que funcionava bem.;A começar pelo local do Hotel, em uma avenida muito movimentada e muito difícil pra estacionar. Estacionamento subterrâneo com elevador, porém tudo muito sujo, bagunçado, o elevador parecia que nem funcionava. No estacionamento se tomamos a sensação de está em um local abandonado, perigoso. Os quartos com camas desconfortáveis, sentava em um lado do colchão, o outro lado subia. Mal cheiro vindo do banheiro. Iluminação ruim e fios expostos. Muito perigoso.;1;;;;;;;;
26 de junho de 2024;Excepcional;Localização limpeza;;10;;;;;;;;
23 de junho de 2024;Ruim;A localização é boa e atendentes, minimamente, educados.;Serviço de quarto e limpeza inexistentes. Infraestrutura muito à desejar. Faltam materiais e utensílios para os hóspedes. Móveis tetariorados.;3;;;;;;;;
22 de junho de 2024;Excepcional;Café da manhã, chuveiro quente, quarto confortável.;;10;;;;;;;;
20 de junho de 2024;ESTACIONAMENTO;Da localização;O estacionamento é pequeno, lota rápido.;;;;;;;;;
"A opção é deixar o veículo no estacionamento do hotel BUGAN que fica na rua lateral.""";5;;;;;;;;;;;
18 de junho de 2024;Insatisfeito;Localização e o fato de ter elevador.;Banheiro sem box, molhava tudo. Televisão não funcionava. Quarto sujo.;5;;;;;;;;
17 de junho de 2024;Fantástico;Localização;Instalação: banheiro, ralo do box, parecia estar entupido, não estava dando conta de escoar a água, e caixa da descarga com mau funcionamento.;;;;;;;;;
;;;;;;;;;;;;
O café da manhã é muito bom; mas o ideal seria uma troca; ao invés de variedades de tantos bolos e pães por maior variedade de frutas;" no dia em que me hospedei havia melancia e abacaxi.""";9;;;;;;;;
17 de junho de 2024;Não recomendo o hotel;Dos funcionários do café da manhã;Quarto sujo, mal cheiro de urina no banheiro, instalação elétrica precária, chuveiro frio;2;;;;;;;;
17 de junho de 2024;Decepcionante;Chegamos tarde e nada tinha serviço de conzinha disponível. Sair pra comer onde presencie um assalto, horrível;Atendimento;4;;;;;;;;
17 de junho de 2024;Melhor custo benefício da nossa viagem. super recomendo;O Hotel é bem localizado, o quarto é bem confortável, o café da manhã é bom e a equipe bem atenciosa, Recomendo o hotel, custo beneficio excelente e inclusivo, pois minha mãe é idosa com mobilidade reduzida e o quarto é bem acessível.;;10;;;;;;;;
13 de junho de 2024;Decepcionante;Gostei do senhor que cuida do café da manhã,muito simpático;Não gostei do grupo de adolescentes que ficaram lá 4 dos 7 que fiquei,eles empurravam a minha porta quase caíram de porta a dentro,gritavam, corriam,isso as 5 horas da manhã,a meia noite,avisei aos funcionários e a gerente não deu a mínima,se e assim aluguem só pra eles,fui pra descansar e só me estressei,por duas vezes a camareira não arrumou meu quarto nem limpou,e limpava muito mal,o da minha amiga ela caprichava pq dava caixinhafoi horrível perturbador da recepção ao café da manhã tive pena do senhor q arruma o café,nunca mais me hospedo lá e não indico pra ninguém;1;;;;;;;;
13 de junho de 2024;Excepcional;Comodidade e custo benefício;A nota fiscal eletrônica é emitida pela administração. Prometem um prazo e não é cumprido. Deveria haver a emissão na recepção;10;;;;;;;;
11 de junho de 2024;Péssimo;;Péssima cama, quarto muito pequeno, controles sem funcionar, café da manhã totalmente limitado e o pudim cru, deixa muito a desejar!;1;;;;;;;;
8 de junho de 2024;Péssimo;Gostei apenas da localização que fica em uma área central de Boa Viagem.;Infelizmente não tive uma boa estadia no hotel, sem contar que o fui cobrado por uma diária que não utilizei, sendo que a maior responsabilidade é do booking, mas o hotel mesmo sabendo que não usei o quarto não deu a mínima importância para eu poder ser ressarcido.;3;;;;;;;;
8 de junho de 2024;O hotel atendeu às minhas expectativas e me ofereceu tudo aquilo que eu precisava por um bom custo b;A equipe é muito boa, atenciosa, simpática, prestativa. Gostei da variedade de opções no café da manhã. As acomodações são muito confortáveis tbm;Não fizeram a limpeza do meu quarto todos os dias e também o o cardápio do café quase se repete todos os dias, então para quem vai ficar muitos dias fica um pouco repetitivos. Falta de opção de café da noite ou jantar, para comprarmos no hotel mesmo.;9;;;;;;;;
8 de junho de 2024;Péssima;Localização;O quarto bastante pequeno desagradável, o chuveiro ruim, Controle remoto da TV não funciona, o ar-condicionado não altera a temperatura, a atendente da recepção muito mal educada e sarcástica. Entre outros detalhes que não indico a ninguém esse lugar! Esperei quatro horas pra mudar de quarto e fui na rua, quando voltei ela disse que tinha outra pessoa já, pois trocou o turno e não avisou. Um descaso com o cliente.;1;;;;;;;;
7 de junho de 2024;Decepcionante;De péssima qualidade;Cama e quarto;4;;;;;;;;
7 de junho de 2024;Ruim;Localização;O contestei casa de casal e não tem;;;;;;;;;
O e juntam as duas de solteiro; o serviço de quarto é terrível;;;;;;;;;;;
5 de junho de 2024;;;;4;;;;;;;;
4 de junho de 2024;Localização e atendimento;Atendimento, localização.;Reservei cama de casal e era dois colchões de solteiros juntos e ficam se afastando ou seja paguei as diárias pra uma coisa e fiquei em uma outra.;;;;;;;;;
Reservei para pagamento na hospedagem mas nem tinha feito o check-in e já fizeram a cobrança. ;;;;;;;;;;;;
Esqueci uma havaianas não sei o que eles vão fazer; não falaram nada;" enfim deixar pra lá.""";5;;;;;;;;;
3 de junho de 2024;Me hospedo a 05 meses, pretendo deixar como ocorreu com amigos o atendimento da recepcionistas é horrível;Localização;Atendimento dos funcionários da recepção pessima;1;;;;;;;;
3 de junho de 2024;Bom custo-benefício;Café da manhã bem servido, quarto confortável .;Senti falta de algumas comodidades presentes em hotéis do mesmo nível.;9;;;;;;;;
3 de junho de 2024;Aceitável;Localização e preço;café da manhã, cama e travesseiro e não tinha nem sabonete no banheiro.;5;;;;;;;;
2 de junho de 2024;Não retorno mais sob nenhuma hipótese para esse hotel.;Só a localização;Estrutura velha, o espelho do banheiro era manchado, o chuveiro caia água por todos os espaços, a porta da entrada do quarto tinha que ter um “jeitinho” para abrir, a cortina do quarto era apoiada na parede.;5;;;;;;;;
29 de maio de 2024;Horrível a experiência, nunca mais eu volto.;Só do ar-condicionado;Não gostei, a cama era de mola e um lado tava mais torto que o outro. Amanheci com a coluna doendo. No café da manhã, uma cliente ficou presa no elevador presenciei o desespero dela e chamei os recepcionistas, uma funcionária comentou que outra funcionária da copa ficou 2h e meia presa no elevador também, ou seja esse descaso ainda tá acontecendo? Que horror! Nunca mais.;5;;;;;;;;
28 de maio de 2024;CUIDADO - SEM NOTA FISCAL.;Localização excelente, café da manhã organizado.;Estabelecimento não enviou a nota fiscal das despesas de hospedagem e estacionamento por email, conforme prometido na recepção, como estou a serviço, só consigo receber o reembolso com a nota de despesas, ou seja, vai sair do meu salário estas despesas, uma tremenda falta de respeito do estabelecimento.;1;;;;;;;;
26 de maio de 2024;Excepcional;Praticidade;A falta de sabonete e pasta de dente , sachê;10;;;;;;;;
26 de maio de 2024;A desejar;;Limpeza do banheiro muito ruim, tivemos que aguentar o mau cheiro. ;;;;;;;;;
Café da manhã muito simples; tinha bicho no cereal.;;;;;;;;;;;
"Encontramos baratas no quarto e a camareira nem entrou pra fazer a limpeza.Falta simpatia nos funcionarios.""";5;;;;;;;;;;;
25 de maio de 2024;De bom somente a localização. Já me hospedei outras vezes, mas essa foi a última.;A localização é excelente.;Banheiro sem box, fica tudo molhado. Cama desconfortável, armário sem portas, estrutura deixa muito a desejar.;4;;;;;;;;
22 de maio de 2024;Muito ruim;;Limpeza péssima, acomodação precária.;2;;;;;;;;
21 de maio de 2024;Péssimo;Localização excelente;Chegamos 6h da manhã e solicitamos entrada antecipada pagando a diferença, mesmo assim só liberaram o quarto as 11h da manhã depois de muita insistência, as duas recepcionistas sem nenhuma empatia, cara fechada e de abusadas o tempo todo.;;;;;;;;;
Café da manhã com o básico( pão; salsicha; ovo; fruta; suco parecia suco em pó); todo dia a mesma coisa; o pão era duro parecia do dia anterior e teve um dia que simplesmente faltou pão e ficou por isso msm.;;;;;;
"Não aceitam meia diária cobram o valor de uma diária caso queira ficar até a noite.""";1;;;;;;;;;;;
20 de maio de 2024;Decepcionante;Café deu pra enganar.;A limpeza do quarto. Apanharam o papel do cesto, mas esqueceram de varrer. Quando chegamos a noite e pisamos no chão descalço sentimos areia nos pés.;4;;;;;;;;
20 de maio de 2024;Razoável, tirando os problemas citados acima;Localização;Chuveiro Eletrico com problemas, exaustor barulhento, tampa do vaso sanitário quebrada. torneira vasando!;5;;;;;;;;
19 de maio de 2024;Não recomendo para mais de 1 noite;Os funcionários são excelentes, muito prestativos e simpáticos. Nota 10 para o staff!;O quarto que fiquei não tem nada a ver com o quarto das fotos. Estava sujo, com mobiliários muito velhos, a geladeira não fechava direito e o banheiro tbm era bastante precário. Café da manhã bem simples.;5;;;;;;;;
18 de maio de 2024;Desapontada;Receptividade, café da manhã, localização;Apartamento em péssimo estado. Cortina despencando, tampa de vaso menor do que o mesmo,;5;;;;;;;;
17 de maio de 2024;Ótimo!;Café da manhã maravilhoso! Ótimas instalações!;Estacionamento pago!;10;;;;;;;;
16 de maio de 2024;Não volto;Localização;Primeiro quarto com cheiro horrível,depois da troca melhor.Quarto Velho ,tudo caindo ,aparador em frente a cama despencando ,boco do banheiro não fecha ,toalhas muito desgastadas ,não era cana de casal e sim duas de solteiro juntas,colchão bem gasto e mole ,travesseiro péssimo .;5;;;;;;;;
16 de maio de 2024;Péssimo;Localização;Atendimento ruim,faltava toalhas no quarto, telefone do quarto não funciona, limpeza péssima, não índico.;1;;;;;;;;
15 de maio de 2024;Péssimo;"""Alerta aos viajantes: evite o Hotel Vela Branca em Boa Viagem, Recife! Este estabelecimento está longe de oferecer uma estadia confortável. As instalações são antiquadas, impossibilitando até mesmo o carregamento de celulares e notebooks. O telefone da recepção está quebrado, os travesseiros são finos demais, e o guarda-roupa não possui nem um cabide sequer. A cortina está rasgada, o banheiro tem um aspecto sujo e o teto está mofado. O exaustor parece uma turbina de avião enferrujada, o acabamento do registro do chuveiro está quebrado, e as paredes e pia dispensam comentários. O elevador sacode mais do que uma máquina de lavar roupas e o mau humor dos funcionários só adiciona mais desconforto à estadia. Além disso, há um clima de insegurança ao chegar no local, e se estiver de carro, prepare-se para esperar do lado de fora até que abram o portão. Evite essa experiência desagradável e escolha outro lugar para se hospedar em Boa Viagem.""";;1;;;;;;;;
12 de maio de 2024;Aceitável;Boa localização, com bons locais para alimentação. Relativamente próximo ao shopping Recife.;;;;;;;;;;
Funcionários educados e solícitos;" é bom café da manhã.""";Claramente as instalações do hotel são antigas e mal conservadas. O banheiro foi o mais incômodo em relação à instalação. O quarto reservado estava com o chuveiro queimado, mas rapidamente fui trocada de quarto. ;;;;;;;;;;
É visível que o quarto foi limpo e arrumado;" mas o produto utilizado no chão deixa pegajoso. Eu esqueci a sandália e fiquei muito incomodada andando de pés no chão no quarto. Outra coisa foi o aparecimento de insetos pequenos parecidos com filhotes de baratas tanto no quarto quanto no banheiro.""";5;;;;;;;;;;
10 de maio de 2024;Ficamos decepcionados e não queremos voltar mais.;A escolha pelo hotel foi o custo benefício. Já tínhamos ido uma vez e não gostamos muito, mas retornamos pelo valor da diária.;Ficamos decepcionados com a falta de profissionalismo da equipe, pois fomos surpreendidos na madrugada, enquanto dormíamos, com uma pessoa estranha entrando em nosso quarto. Ou seja, na recepção, deram a chave do nosso quarto para outra pessoa. Sem contar com o barulho de pessoas conversando nos corredores a toda hora (de manhã cedo, até altas horas da madrugada). E também o café da manhã que deixa a desejar.;4;;;;;;;;
10 de maio de 2024;Fantástico;otima opcao de hospedagem;;9;;;;;;;;
9 de maio de 2024;Decepcionante;Legalização;Do qurto;4;;;;;;;;
9 de maio de 2024;Excepcional;Tudo;Não teve nada;10;;;;;;;;
8 de maio de 2024;Excepcional;Atendimento excelente;São dois colchões de solteiro ao invés de um colchão de casal;10;;;;;;;;
7 de maio de 2024;Não recomendo;A localização é muito boa;Um dos quartos não estava pronto quando chegamos e os funcionários conduziram o problema muito mal ;;;;;;;;;
Reservei dois quarto e o que estava destinado ao meu pai; um senhor de 79 anos; não está apto a recebe-lo ;;;;;;;;;;
Segundo a atendente ela não tinha um prazo para nós dar ;;;;;;;;;;;;
"Muito desagradável""";4;;;;;;;;;;;
6 de maio de 2024;Decepcionante;Localização e atendimento excelente dos funcionários;Infelizmente a limpeza e conforto deixam muito a desejar. Colchão muito, mas muito mole, afundamos nele. O ar condicionado é péssimo do quarto 413, esfria nada, só refresca. O banheiro alagou pois fica vazando a duchinha.;;;;;;;;;
Café da manhã deixa muito a desejar;" só o básico mesmo. Mas as oito horas já está faltando muita coisa e a reposição demora muito. Poucos funcionários para isso.""";4;;;;;;;;;;
6 de maio de 2024;Excepcional;Adorei o preço e a localização, perto de tudo.;;;;;;;;;;
"Indicaria totalmente esse Hotel.""";;10;;;;;;;;;;
6 de maio de 2024;Maravilhoso;Tudo;Nada;10;;;;;;;;
6 de maio de 2024;Ótima acomodação.;Apartamento bom. Tudo limpinho. Tudo muito confortável.;Não tinha vaga no estacionamento do hotel e tivemos que deixar o carro num hotel parceiro ao lado.;9;;;;;;;;
5 de maio de 2024;Gostei muito apesar dos probleminhas com a cama e o barulho do banheiro, definitivamente voltarei.;Simplesmente tudo muito arrumado e cheirosinho.;Quando acendia a luz do banheiro o exaustor fazia um barulho MUITO alto e incomodou um pouco. No mais, a cama que eu pedi de casal, na verdade eram 2 camas de solteiro juntas e durante a noite os colchões se afastavam deixando um buraco no meio incomodou bastante.;9;;;;;;;;
3 de maio de 2024;Pela localização do hotel, merecia mais investimento em treinamento e postura da equipe.;Café da manhã decepcionante;Falta de estacionamento (carro ficou na rua), limpeza em geral (hotel em obras), ar condicionado fazendo uma água marrom (sinalizando falta de manutenção / limpeza) e o café da manhã (limpeza das mesas, funcionários com uniformes sujo servindo o buffet);4;;;;;;;;
2 de maio de 2024;Excepcional;O atendimento e o café da manhã, além do ambiente do quarto.;;10;;;;;;;;
30 de abril de 2024;Hotel ruim;Localização ;;;;;;;;;;
Próximo a praia; aeroporto; feirinha ;;;;;;;;;;
Café;" foi o teve de bom no hotel.""";Instalações em geral;;;;;;;;;;
Chuveiro não saia água (eu tive que tirar a peneira do chuveiro e limpar para poder sair água ).;;;;;;;;;;;;
Banheiro velho; sujo.;;;;;;;;;;;
Cheiro forte no quarto (provavelmente esgoto externo); região tem forte cheiro de esgoto.;;;;;;;;;;;
Forro de cama; dá a impressão que não são trocados.;;;;;;;;;;;
Obs: estou falando do quarto 405;" os outros não sei.""";4;;;;;;;;;;
30 de abril de 2024;Ótimo, bom custo benefício;As instalações do hotel são maravilhosas, o quarto é bastante confortável, o café da manhã é bom!;O estacionamento é pago (R$25,00);10;;;;;;;;
30 de abril de 2024;Péssimo;NADAAA, é horrível...;Um horror, graças a Deus não passei nem 24 horas nesse hotel, pareceu barata e um filhote de lagartixa, o estacionamento é assustador, uma sujeira, estrutura péssima móveis velhos.. SÓ CORRAM DESSE HOTEL!! Fui com meus pais e fiquei decepcionada por ter escolhido esse hotel, por isso não fiquei nem 24 horas só passei a noite e já foi péssimo.;1;;;;;;;;
28 de abril de 2024;Decepcionante;A acomodação boa ! Porém não tinha vaga de garagem !;Não ter vaga de garagem;4;;;;;;;;
24 de abril de 2024;Aceitável;Funcionários e localização;Fiquei uma noite, houve falta de luz por algumas vezes, od elevadores não estavam funcionando ;;;;;;;;;
"6 andares pelas escadas""";5;;;;;;;;;;;
22 de abril de 2024;Decepcionante;Localização;Instalações antigas;4;;;;;;;;
22 de abril de 2024;Nas condições que está não voltarei mais;Precisando de uma manutenção urgente. Hotel está super acabado não condiz a situação atual com a imagens;Móveis acabados ;;;;;;;;;
Estacionamento num subsolo super fedorento ;;;;;;;;;;;;
"Travesseiros pessimos""";3;;;;;;;;;;;
20 de abril de 2024;Péssimo;Toalha de banho, de rosto pareciam lixas quarto com mal cheiro, cobertor ruim.;Café da manhã com aipim duro, bolo duro, pão de forma duro, cachorro quente frio. Muito pouca opção o café da manhã.;1;;;;;;;;
20 de abril de 2024;Excepcional;Excelente;;10;;;;;;;;
18 de abril de 2024;Excelente;Bom;De não ter dinheiro pra morar no hotel;10;;;;;;;;
16 de abril de 2024;Não volto mais . Tem hotéis um pouco mais caros ao redor e te proporciona muito mais conforto e higiene;Localiza excelente localização.Atendentes solícitos;Instalações velhas , mas o pior de tudo foram os colchões da cama fedendo a xixi de gato . O banheiro também ficou fedendo a xixi de gato após limpeza ( creio que o pano que ela usou estava sujo de xixi);5;;;;;;;;
15 de abril de 2024;Excepcional;Gostei dos funcionários atenciosos, café da manhã impecável e a localização.;Não gostei dos móveis, a cama que pedi pra minha estadia não era de casal e sim de solteiro, passei três noites juntando as camas pra não cair.;10;;;;;;;;
15 de abril de 2024;Boa;O hotel encontra-se bem localizado, em uma avenida de muito movimento e próximo a praia e restaurantes. Apesar de fazer o check-in bem tarde, fui muito bem recebida e muito bem atendida.;;9;;;;;;;;
15 de abril de 2024;SONEGADORES;NADA A COMENTAR;FICARAM DE ENVIAR A NOTA FISCAL POR E_MAIL E NÂO ENVIARAM ISSO È SONEGAÇAO;1;;;;;;;;
15 de abril de 2024;Como só foi uma diária, deu p/ passar.;Razoável, mas o restaurante muito exposto;Recepcionista não simpática. Garagem horrível, suja verdadeiro depósito;5;;;;;;;;
13 de abril de 2024;Decepcionante;A localização é boa;O quarto estava sujo, a maçaneta da porta não abria, banheiro com azulejos sujos, torneira solta, televisão só pega Globo. Pra dormir, O que foi meu caso serve mas para passar uma diária aí já fica ruim;4;;;;;;;;
9 de abril de 2024;Excepcional;Localização! Café da manhã 😋☕, recepcionistas ótimos e educados,até às meninas camareira são educadas!! Parabéns;Não vi nada de ruim!!;10;;;;;;;;
8 de abril de 2024;Mais o menos;Da cama e o ar-condicionado;Só atendimento de alguns funcionários, deixou muito a deseja , e o café da manhã bem simples;5;;;;;;;;
6 de abril de 2024;Excepcional;Localização e limpeza;Estacionamento pago;10;;;;;;;;
5 de abril de 2024;Decepcionante!;Gostei apenas da localização.;As áreas passa a ideia de ser um hotel novo, reformado... Mas, quando acessamos as acomodações... estas são bem decadentes, a porta do quarto abria e fechava com dificuldade, as portas do armário não fechavam por completo, móveis velhos, o chuveiro parecia estar entupido - a água saia com muita dificuldade, e o pior: o barulho. Muito barulho em todos os horários, inclusive de madrugada. A garagem bastante apertada para estacionar (um motorista sem experiência não consegue estacionar). E para completar, fiquei presa no elevador.;5;;;;;;;;
5 de abril de 2024;Decepcionante;;As fotos colocadas no Booking não correspondem a realidade. Quartos com péssimos acabamentos, obra/reforma por fazer ou mal feita. Mobiliário em MDF estufado. Porta do box emperrando. A camareira só limpa o quarto se for requisitada. A água do chuveiro mal esquentava, a chave do quarto todos os dias desmagnetizava. O elevador e o espaço para o café não atendia a demanda.;3;;;;;;;;
4 de abril de 2024;Tre bona Hotelo;De tudo: localização, atendimento, limpeza, café da manhã, quarto climatizado, ambiente familiar.;;10;;;;;;;;
3 de abril de 2024;Excepcional;O quarto, o colchão, jogo de cama super cheiroso;O café da manhã que precisava ter alguma proteína, é sempre aesma coisa da rede toda, ovos e salsicha de cachorro quente no molho.;10;;;;;;;;
2 de abril de 2024;Estadia Simples;Gostei só da localização;Quartos apertados, chuveiro fraco , café da manhã muito simples;5;;;;;;;;
2 de abril de 2024;Satisfeito;Café da manhã muito bom, quartos super organizados e atendimento excelente.;Quarto, café da manhã;10;;;;;;;;
30 de março de 2024;Poderia ser melhor. Vale se não esperar muito conforto;Da localização e do valor da reserva. Bom custo benefício;Esqueci um carregador de notebook. Já tentei contato por vários canais e não consigo falar com o hotel. LAMENTÁVEL SOB TODOS OS ASPECTOS!!!;5;;;;;;;;
29 de março de 2024;Obrigada pela atenção;Foi tudo muito bom;;9;;;;;;;;
28 de março de 2024;Excelente;Amei tudo. Fiquei hospedada nesse hotel pois fiz uma cirurgia odontológica;No quarto 114 não tinha ducha higiênica ao lado do vaso.;10;;;;;;;;
27 de março de 2024;Não gostei de nada. Elevador em pessimas condicoes, o quarto então nem se fale, muito ruim, não tinha cama de casal e ch;Nada.;Não gostei de nada. Elevador em pessimas condicoes, o quarto então nem se fale, muito ruim, não tinha cama de casal e cheirando mofo, não recomendo.;2;;;;;;;;
23 de março de 2024;Passamos uma noite somente, mas não sei se volto!;Localização;Estrutura muito antiga! Apesar dos lençóis e toalhas cheirosos e limpinhos, o quarto tem a aparência muito antiga! Infiltração, madeiras fofas, ar condicionado com fita isolante, pia com banheiro com aparência feia de lôdo. Não gostei! O café da manhã não tomamos porque pegamos um voo cedinho antes de ser servido!;4;;;;;;;;
22 de março de 2024;Péssimo;;Café da manhã sem variedades, atendimento ruim, errei na reserva e não conseguiram arrumar e nem me deram outra escolha, hotel está em reforma a cama de casal era duas camas de solteiro que se afastavam, o elevador que levava a garagem estava velho e entre outras coisas;1;;;;;;;;
20 de março de 2024;Fantástico;Custo benefício;;9;;;;;;;;
19 de março de 2024;Poderia melhorar;Valor;Cheiro, cama desconfortável;4;;;;;;;;
17 de março de 2024;Hotel muito bom, perto do aeroporto, local limpo.;Quarto bem espaçoso, banheiro limpo, café da manhã variável e gostoso.;Senti falta de cobertas para passar a noite porém nada que impedisse de dormir tranquilo;9;;;;;;;;
16 de março de 2024;Aceitável;Localização.;Não ter vaga/estacionamento próprio, pagar a parte para um fornecedor terceiro, fora do hotel.;5;;;;;;;;
14 de março de 2024;Pessimo, totalmente despreparado para receber alguem;Cheguei ao hotel e simplesmente meu quarto tava aberto e sujo, o corredor em reforma e tive q descer e solicitar outro quarto;O segundo quarto que fui, era na chave e a porta n abria, maior dificuldade o funcionário deve q chegar pr abrir. Depois faltou energia na saida, eu precisava ir trabalhar r tive q esperar 2 mulheres arrombarem o portão pr eu sair do estacionamento PAGO.;1;;;;;;;;
14 de março de 2024;Excepcional;Excelente;Atendimento;10;;;;;;;;
