data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
23 de outubro de 2024;Horrível;Hotel péssimo, café da manhã horrível, quarto sujo, Wi-Fi não funciona! Funcionários são gentis;Nada;1;;;;;;;;;;;;;;;;;;;;;;;;;
23 de outubro de 2024;Muito ruim;Localização;Cama e roupa de cama ;;;;;;;;;;;;;;;;;;;;;;;;;;
Banheiro uma lagoa ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Preço alto da diária ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Não consegui dormir""";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 de outubro de 2024;Aceitável;Os funcionários são muito prestativos e atenciosos, localização muito boa .;Quarto estava muito sujo, cheio de cabelos no chão (sem exageros parecia um piso de salão de beleza) como se não tivesse sido limpo, os colchões faziam muito barulho vindo das molas.;5;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2024;ÓTIMA;LOCALIZAÇÃO E CONFORTO;NADA;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2024;custo benefício bom;Localização ótima, proem o chuveiro era frio e o café da manhã bem básico e repetitivo.;chuveiro era frio e o café da manhã bem básico e repetitivo.;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2024;ruim;O Hotel é envelhecido e mau cuidado, não gostei e recomendo a ninguém;quarto com muita poeira e teia de aranha, colchões velhos e desconfortáveis, banheiro com vazamentos e muito lodo e mofo, ar condicionado precisando de manutenção, café da manhã com pães velhos e local sem refrigeração, na recepção também em alguns momentos o ar condicionado também desligado;2;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2024;Ótima relação custo x benefício;Ótima localização, bem próximo da praia de Boa Viagem, próximo também do aeroporto e logo em frente há um supermercado do Carrefour. Camas confortáveis, ducha forte e quente, quarto espaçoso e ainda conseguimos vista para o mar. O café da manhã atendeu bem. Com certeza voltaria a me hospedar aqui.;Ficamos apenas uma noite e nesse curto período não houve nada que nos desagradasse.;9;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2024;Aceitável;Café da manhã;Cama, quarto bem antigo;5;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2024;Ficamos incomodados com a sujeira, quase nao conseguimos dormir.;Chuveiro era bom.;Acomodação suja. O chao praticamente escorregava de tanto sebo.;1;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2024;Fantástico;Boa localização, bom atendimento.;;9;;;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2024;Estava bom para pouco tempo e pro q eu precisava pois quase nao fiquei no hotel.;Espaço e a cama grande;So tinha 1 coberta e nao tinha lençol p se cobrir. O ar condicionado nao gelava bem mesmo no 17 graus. Funcionarios sem educucao. Nao explicavam as coisas direito. So teve 1 dia q uma funcionária era mais agradável.;5;;;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2024;Aceitável;Localização;Colchão muito mole e desgastado e café da manhã sem diversificação durante os seis dias que estive hospedada.;5;;;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2024;Recomendo;Localização e custo benefício.;Gostei de tudo, deu tudo certo.;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2024;Excepcional;Tudo perfeito;Café ☕️ da manhã poderia ter mais opções;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2024;Excepcional;Localização, comodidade do estacionamento e simpatia dos funcionários.;Gostei de tudo.;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de outubro de 2024;Aceitável;;Tive alterações nas datas do meu vôo e infelizmente o hotel dificultou ao máximo para alterar minhas datas de reservas.;5;;;;;;;;;;;;;;;;;;;;;;;;;
20 de outubro de 2024;Excelente localização;Localização;O restaurante pode melhorar o sabor;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de outubro de 2024;Há muito em que melhorar;Localização é razoavelmente boa;O café da manhã é pessimo, passei 4 dias e o café da manhã foi o mesmo todos os dias. Pagar pelo estacionamento que fica em outro local. A água do chuveiro acumula enquanto toma banho. Academia enferrujada, esteiras não funcionaram.;4;;;;;;;;;;;;;;;;;;;;;;;;;
19 de outubro de 2024;Não volto mais;;Café, estacionamento, quarto , piscina;1;;;;;;;;;;;;;;;;;;;;;;;;;
16 de outubro de 2024;Decepcionante;Localização;Estacionamento pago. Academia fraca e o ar condicionado não funciona. Camas de baixa qualidade.;4;;;;;;;;;;;;;;;;;;;;;;;;;
15 de outubro de 2024;Decepcionante;Localização boa porém tinha muito mendigo na porta do hotel.;Simplesmente tinha um rodo no banheiro (????);;;;;;;;;;;;;;;;;;;;;;;;;;
A água não descia pelo ralo; acumulando no chão na área do chuveiro. Primeira vez que viajei pra passar por uma situação dessa. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ademais; paguei pelo estacionamento e valet;" mas na hora do check out não havia funcionário para pegar meu carro.""";4;;;;;;;;;;;;;;;;;;;;;;;;;;
15 de outubro de 2024;Excepcional;Cris é uma ótima anfitrião. Sem alegre e muito solicita. Ambiente impecável, sempre limpo e organizado!.;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de outubro de 2024;Ruim;Localização;Paredes mofadas, cortinas sujas, roupa de cama encardida e fedida.;3;;;;;;;;;;;;;;;;;;;;;;;;;
14 de outubro de 2024;Estadia lamentável;Somente da localizaçao, eu indiquei para vários amigos por que achei que por ser da rede Andrade era bom, e morri de vergonha pois todos detestaram.;Do café da manhã muito fraco, todos os meus amigos inclusive eu, pedimos um omelete ou um ovo frito e não serviam, qualquer fundo de quintal serve, e este hotel não serve. pedimos gelo e nos deram a resposta que não era gelateria. lamentável. banheiro sem ducha e sem box, estilo hotel bem simples onde a diária deveria ser no máximo 100,00.;2;;;;;;;;;;;;;;;;;;;;;;;;;
13 de outubro de 2024;Bom e barato;Custo beneficio;;9;;;;;;;;;;;;;;;;;;;;;;;;;
12 de outubro de 2024;Localidade;;Acomodação;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de outubro de 2024;Decepcionante;Café da manhã ok, poucas opções, mas bem servido. Atendimento solícito, pessoal simpático.;O quarto poderia ser melhor mantido, as cortinas estavam rasgadas e velhas, a cama poderia ser melhor forrada, e também a limpeza do ambiente deixou a desejar. Embaixo da cama estava extremamente sujo, tivemos uma crise de rinite alérgica. Além disso, o hotel tem pouca acessibilidade, é desprovido de rampas de acesso e as portas e elevadores são muito estreitas.;4;;;;;;;;;;;;;;;;;;;;;;;;;
12 de outubro de 2024;Só voltaria se não tivesse outra opção.;A localização é muito bom.;Café da manhã sem opções e todos os dias a mesma coisa. ;;;;;;;;;;;;;;;;;;;;;;;;;;
Instalações precisando de manutenção.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O ar-condicionado do meu quarto não estava funcionando; pedir para verificar e não verificaram.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quando é feito a limpeza;" não é feito uma troca de lençóis e nem toalhas.""";5;;;;;;;;;;;;;;;;;;;;;;;;;;;
12 de outubro de 2024;Não recomendo!;Só pq fica em frente ao Carrefour e proximo ao aeroporto.;Falta de cordialidade dos funcionários da recepção. ;;;;;;;;;;;;;;;;;;;;;;;;;;
Roupas de camas pessimas; e ao solicitar mais cobertas a atendente informou que não foi autorizado pela lavanderia novas peças.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Um lençol muito fino com um colchão imundo; cinjo de deitar. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Precisei colocar roupas para aumentar a distância do corpo para o colchão.""";5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11 de outubro de 2024;Muito desconfortável.;Gostei apenas da localização.;Higiene e conforto. ;;;;;;;;;;;;;;;;;;;;;;;;;;
Ar condicionado do quarto parou de funcionar no meio da noite.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travesseiros velhos; sujos e desconfortáveis. Lençóis; fronhas e toalhas muito velhas;" finas de tanto uso. Falta de zelo ou descaso mesmo com o consumidor.""";2;;;;;;;;;;;;;;;;;;;;;;;;;
11 de outubro de 2024;O valor cobrado pode até estar abaixo da média mas não vale a pena.;O café foi razoável e o único ponto realmente positivo é apenas quanto à localização do hotel.;Banheiro com alagamento, roupas de cama e banho surradas, paredes do quarto sujas e riscadas, TV sem acesso à internet.;;;;;;;;;;;;;;;;;;;;;;;;;;
O pior de tudo é que não conseguimos dormir nas duas noites de hospedagem. Existe uma fileira de evaporadoras dos ar ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
condicionados instaladas bem ao lado de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fora da janela dos quartos; todas operando a pleno vapor. A estrutura que abriga tais equipamentos é feita de ferro. Então; como se não bastasse o próprio ruído produzido pelas evaporadoras;" as trepidações resultantes sobre essa estrutura de metal potencializa ainda mais o barulho tornando impossível alguém conseguir dormir.""";2;;;;;;;;;;;;;;;;;;;;;;;;;
10 de outubro de 2024;Foi ótimo, eu já estive outras vezes neste hotel.;Excelente, muito bom.;O estacionamento, era pra ser mas em conta, visto que o hotel não dispõe de estacionamento.;9;;;;;;;;;;;;;;;;;;;;;;;;;
10 de outubro de 2024;Fantástico;Boa localização, gostei das instalações pelo preço, quarto muito confortável e grande, café da manhã razoável.;;9;;;;;;;;;;;;;;;;;;;;;;;;;
10 de outubro de 2024;Fantástico;Ha localizacao muito boa . O atendimento muito bom.o csfe da manha, muita variedades. De parabéns;Como precises ficar até as 16 hrs . Axhei bastante caro o valor por somete 4 horas;9;;;;;;;;;;;;;;;;;;;;;;;;;
10 de outubro de 2024;Hotel fraco;Preço.;Hotel precisando de manutenção, limpeza o ar condicionado e o quarto estavam sujos, com cheiro de mofo forte, roupas de cama sujas, colcha disponibilizada rasgada, pessoal de recepção pouco receptivo diante dos problemas levados, café da manhã fraco, não voltarei.;5;;;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2024;Fantástico;A localização é ótima e a equipe atenciosa.;#NOME?;;;;;;;;;;;;;;;;;;;;;;;;;;
"- O ar condicionado do ar estava vazando água pela frente e ficava pingando goteiras no chão do quarto.""";9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2024;Nota 99;Excelente localização, custo e benefício, próximo da praia, limpo, o café da manha muito bom, os funcionários todos atenciosos e educados.;Não tenho nada a reclamar;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2024;Bom custo benefício;Localização;Café da manhã pode melhorar;9;;;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2024;Fantástico;Bom café da manhã ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Localização excelente""";;9;;;;;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2024;Aceitável;localização e atendimento na recepção;Os lençóis e o travesseiro tinham mau cheiro;;;;;;;;;;;;;;;;;;;;;;;;;;
chuveiro ruim com pouca agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
na pia só um pequeno sabonete em barra. e mais nada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saí muito cedo; sem café;" pois não tem cafeteira na recepção.""";5;;;;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2024;Excepcional;Os quartos são bem grandes e a localização.;O café da rede Andrade em geral é bem básico, mas coerente com o preço.;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de outubro de 2024;Excepcional;Adorei esse hotel! O quarto é um espetáculo;;10;;;;;;;;;;;;;;;;;;;;;;;;;
7 de outubro de 2024;Não voltaremos mais;O café da manhã é bom;A limpeza dos quartos é muito precária, cortinas manchadas, toalhas também com manchas;;;;;;;;;;;;;;;;;;;;;;;;;;
Na cama de casal tinha apenas um lençol ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Não tinha água quente na noite que chegamos""";5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7 de outubro de 2024;Fantástico;Instalações, localização, café da manhã.;Toalhas de banho.;9;;;;;;;;;;;;;;;;;;;;;;;;;
6 de outubro de 2024;Aceitável;Localização, atendimento bom e ar condicionado funcionando, banho maravilhoso.;Tudo extremamente sujo. Lençóis sujos com resto de cabelo e líquido seminal. Banheiro sujo, armários e chão sujo. Na hora do café encontrei cabelo nos talheres. Esse hotel já foi bom, porém hoje falta manutenção e higiene;5;;;;;;;;;;;;;;;;;;;;;;;;;
5 de outubro de 2024;Gostei e voltaria com certeza;Gostei do tamanho do quarto e dos móveis, pois tinha uma mesa para uso do meu notebook;Foi usado um produto muito forte no banheiro(Cândida) e o cheiro estava nos incomodando um pouco;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de outubro de 2024;Não é nada daquilo que as fotos mostram. FUJAM.;Apenas a vista da praia q escapou. Isso pq n era dentro do hotel, coitado.;Sujeira nas paredes,portas, elevadores, equipamento de ar mt ruim, mobílias velhíssimas, tudo decadente. Uma atmosfera decadente por todos os lados.;4;;;;;;;;;;;;;;;;;;;;;;;;;
5 de outubro de 2024;péssimo. não pretendo ficar novamente na rede.;localização;de inicio já não reconheceram que era para 2 pessoas e precisamos pagar o adicional.;;;;;;;;;;;;;;;;;;;;;;;;;;
ficamos 4 dias e não foi enviado uma camareira para a limpeza; apesar de pedirmos incessantemente. precisamos descer pra trocar toalhas; já que nem isso fizeram; apesar de ligar com frequência para que isso seja feito. o banheiro entupiu e a recepção foi avisa e prometeu mandar alguém e por horas nada foi feito; após voltar do passei passamos um tempo apertando a descarga até que foi resolvido;" e até o final da estadia eles nada fizeram. Ar condicionado vazou dentro do quarto e molhou a mala pronta e novamente o hotel nada fez. A recepção ou não ouvia ou não sabia passar o problema para ser resolvido. Pelo nome da rede esperava mais do café da manhã.""";1;;;;;;;;;;;;;;;;;;;;;;;
3 de outubro de 2024;Adequada;Quarto confortável e bem harmonioso. Elevador em ótima qualidade, além de ser rápido.;O café da manhã não é bom. Básico demais e as opções não variam nem mesmo um pouco de um dia para o outro.;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de outubro de 2024;Fantástico;da localização, da limpeza, do atendimento;das toalhas muito pequenas;9;;;;;;;;;;;;;;;;;;;;;;;;;
2 de outubro de 2024;Excelente custo - benefício;Localização excelente, ótimo custo - benefício, quarto espaçoso com muitos armários. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Recomendo demais!""";Fiquei na fila da torradeira, mas tudo bem...;9;;;;;;;;;;;;;;;;;;;;;;;;;;;
1º de outubro de 2024;Boa estadia;Atendimento;Café da manhã;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de outubro de 2024;Aceitável;;Muito ruim a experiência de check-in. Ultrapassaram o horário das 14h, mesmo com vários quartos liberados às 12h. Com isto, cerca de 50 hóspedes ficaram esperando por horas no hall do hotel.;5;;;;;;;;;;;;;;;;;;;;;;;;;
1º de outubro de 2024;Deixou a desejar;Café da manhã;Demora na liberação dos quartos, faltando toalhas na acomodação;1;;;;;;;;;;;;;;;;;;;;;;;;;
30 de setembro de 2024;Hotel péssimo;Nada. Hotel péssimo.;Hotel péssimo, iluminação péssima, cama ruim, chuveiro pingando, tudo ruim.;1;;;;;;;;;;;;;;;;;;;;;;;;;
30 de setembro de 2024;Fantástico;DO CONFORTO E TAMANHO DOS QUARTOS BEM COMO A LOCALIZAÇÃO;APENAS 01 MANOBRISTA PARA OS CARROS DA GARAGEM. FIQUEI 20 MINUTOS ESPERANDO ATÉ O MEU CARRO SER TRAZIDO. TAMBÉM PODERIAM, COMO EM TODOS OS HOTÉIS QUE JÁ ESTIVE, OFERECER MANTEIGA EM PEQUENOS POTES E NÃO UMA MARGARINA DE PÉSSIMA QUALIDADE NUM POTE GRANDE PARA TODO MUNDO SE SERVIR.;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de setembro de 2024;Excepcional;Do atendimento no check-in, pessoas muito educadas, parabéns!;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de setembro de 2024;Pessima horrivel;Não gostei de nada hotel só tem nome mais nada;Fiquei no hotel de segunda a sexta , chuveiro gelado ar não funciona e limpeza não tinha , toalha não troca .;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedi várias vezes trocar ou arrumar chuveiro e ar não tomaram nenhuma providência ; pedi para cancelar minha reserva mas não o fizeram ; quero ser reparado pelo meu prejuízo tomem;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Providências""";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 de setembro de 2024;Não voltaria - Não recomendo;A localização é boa. Tem um Carrefour de frente.;O banheiro tinha cheiro de esgoto e xixi.Toda a instalação é bem antiga. A área da piscina estava bem abandonada, sem limpeza, e sem condições de uso. O café da manhã não tinha variedades para o tamanho do Hotel deixou bem a desejar.;1;;;;;;;;;;;;;;;;;;;;;;;;;
28 de setembro de 2024;Uma desgraça;Pessimo, um cheiro horrível;Quarto mal iluminado, cheiro muito ruim;1;;;;;;;;;;;;;;;;;;;;;;;;;
28 de setembro de 2024;Decepcionante;;Contratempos diversos. E falta de compreensão do corpo funcional. Sou cliente de longa data e com certa frequência, e fui mal tratado.;4;;;;;;;;;;;;;;;;;;;;;;;;;
27 de setembro de 2024;Bem localizado;Fica próxima da praia e em Boa Viagem. Quarto amplo. Equipe do hotel sempre muito simpática.;Nosso quarto teve um problema com cheiro de esgoto, pedimos para trocar de quarto, mas nao foi possível. Fizeram uma limpeza nos ralos do quarto, mas ainda assim ficou com cheiro. A iluminação do quarto era toda com luz branca e a cama bem baixa.;5;;;;;;;;;;;;;;;;;;;;;;;;;
27 de setembro de 2024;FRACO;Somente a Localização;Fiz reservas para 02 quartos, pagando pelo custo mais caro do quarto com a cama de casal, Chegando no Check-In a atendente insistindo que a minha reserva não comtemplava essa acomodação, Mesmo comprovando para ela com a reserva. Segundo ela o Hotel estava cheio e não podia atender com cama de Casal. Após vários minutos de desgaste, ela localizou 02 quartos para me atender como consolação. ;;;;;;;;;;;;;;;;;;;;;;;;;;
Hotel muiiiiiiiiiiiiiiiiiiiiiiiiito antigo; decoração velha e nada funcional.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toalhas parecendo pano de prato. finas; pequenas; manchadas e de péssima qualidade. Foi disponibilizada apenas uma unidade para meu quarto; que após o primeiro uso já não tinha mais condições de uso.;;;;;;;;;;;;;;;;;;;;;;;;;;
Não tinha tapete no banheiro. Ao sair do banho; molhava todo o banheiro e quarto.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chuveiro sem água quente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colchão parecendo gelatina. Mole e muito desconfortável. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Café da manhã fraco; sem opções e itens de baixa qualidade. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quarto antigo; mobiliário antigo. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Não vale o preço cobrado.""";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27 de setembro de 2024;Obrigada a todos.;O quarto é grande, limpo e bem confortável. Os funcionários são muito simpáticos, atenciosos e se importam com o seu bem-estar. O café da manhã é ok e acredito que tenha opção o suficiente para as expectativas de todos. Muito bem localizado e há cerca de 5 minutos do centro da cidade.;Gostei de tudo.;10;;;;;;;;;;;;;;;;;;;;;;;;;
26 de setembro de 2024;Decepcionante;Espaço e limpeza;A acomodação tinham lâmpadas que não funcionavam, no banheiro a agua do chuveiro não esquentava, não tinha secador de cabelo, não tinha toalha no piso e nem de mãos, era apenas uma toalha de banho para cada. O quarto era no 12º andar, onde o elevador nem chegava. Tive uma ruptura na panturrilha e tive que subir escada para chegar no quarto, inclusive descer escada com mala para fazer check out.;4;;;;;;;;;;;;;;;;;;;;;;;;;
26 de setembro de 2024;péssima, ainda bem q foi só um dia;nada;café ruim, cama péssima, cheiro de mofo, atendentes mal humoradas, sem cobertor, lençol puído, um horror.;5;;;;;;;;;;;;;;;;;;;;;;;;;
25 de setembro de 2024;Uma estadia agradável e confortável.;Bom atendimento, organização e limpeza do local.;A cama de casal era muito pequena para um casal!;9;;;;;;;;;;;;;;;;;;;;;;;;;
25 de setembro de 2024;Péssimo;Possui uma boa localização.;Passei 2 noites no hotel, tive que tomar banho na água gelada, não me realocaram de quarto e ainda o hotel todo tem um cheiro muito estranho, tipo de poeira, mofo. Sem contar que a luz do banheiro estava queimada, pia entupida e toalhas manchadas. Não gostei da minha experiência.;1;;;;;;;;;;;;;;;;;;;;;;;;;
24 de setembro de 2024;Fantástico;o hotel é muito bem localizado e as acomodações são excelentes;teve uma falta de energia e no começo os funcionários não souberam direito como lidar com a situação, um gerador para suprir as necessidades básicas do hotel é necessário tendo em vista o seu tamanho;9;;;;;;;;;;;;;;;;;;;;;;;;;
24 de setembro de 2024;Aceitável;Localização;Atendimento da recepção;5;;;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Imundo;Localização;Quarto Imundo, com poeira demais, coisa que ;;;;;;;;;;;;;;;;;;;;;;;;;;
nunca foi limpa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cafe da manhã; fraquissimo; como sonfui embora na segunda; peguei pao dormido.;;;;;;;;;;;;;;;;;;;;;;;;;;
Pra terminar; meu vizinho começava as 6:30 ! Treinar violino; liguei para a recepção por dois dias e fui informado que nada podiam fazer.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atenção antes das 8h. Perguntei se naontinha nenhuma restrição para insrumentos musicais e me falaram que não. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surreal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sei que errei meu hotel. Mas nunca achei que fosse tão ruim""";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Eu não voltaria!;Localização!;As imagens não condizem com a realidade do hotel, tudo muito antigo, velho e quebrado. Café da manhã péssimo, louças sujas e pouquíssima diversidade. O que eles chamam de academia, não funciona nada, tudo quebrado!;1;;;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Que vcs continue com essa organização. Que o padrão do hotel não caia;De tudo 👏👏;De não poder ficar mais tempo;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Excepcional;Localização próxima de tudo .;Café da manhã deixou a desejar .;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Muito ruim;acomadação espaçosa, sabonete cheiroso;não tinha toalha quando chegamos, tivemos que ir buscar na recepção pois não tinha ninguém para levar, café da manhã sem muitas opções.;2;;;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Aceitável;;CHUVEIRO - POUCA AGUA;5;;;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Bom custo benefício;Localização, quarto espaçoso.;Café da manhã caiu a qualidade dos sucos. Bem ruins.;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Foi uma decepção;Elevadores péssimos, não funcionam;Atendimento na recepção não funciona. Desde o dia da minha entrada no hotel, eu solicitei nota fiscal, fiquei 5 dias hospedado e não recebi a NF até o momento.;1;;;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2024;Fantástico;Localização ótima, quarto bem agradável, cilencioso e bastante amplo.;Cartão da porta sempre estava dando problemas, muitas vezes chegava cansado e as vezes querendo ir ao banheiro, colocava o cartão na porta e ela não abria, então tinha que descer tudo novamente para ir até a recepção e as vezes enfrentar fila para resolver o problema e voltar até o quarto.;9;;;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2024;Vale muito a pena;Local limpo, todos os funcionários muito simpáticos e solicitos. Quartos arrumados, ar e chuveiro elétrico funcionando perfeitamente, café da manhã bem servido. Bem localizado, além deles oferecerem gratuitamente a opção de guardar a mala;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2024;Aceitável;;Fedor de mijo;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpete molhado ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cortinas sujas ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sofa sujo da recepção ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sem troca de toalhas""";5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2024;Decepcionante;Nada;Odor de mijo ;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpete encharcado ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sujeira""";4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2024;Não hospedaria novamente;;Limpeza ruim, chuveiro só agua fria, cafe da manhã ruim, mau cheiro nos corredores, não tem secador nos banheiros.;3;;;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2024;Hotel péssimo;De nada tudo muito ruim;Prezados, bom dia!! É com uma grande insatisfação que saiu desse hotel com muitos problemas como;;;;;;;;;;;;;;;;;;;;;;;;;;
"Essa foi a minha insatisfação e até hoje não recebi uma resposta do Hotel.""";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2024;Coloquei muita expectativa e me frustei;A cama é confortável e a vista é bonita.;Ligamos para a recepção várias vezes em 3 horários diferentes e sempre chamava e ninguém atendia a ligação, então pra tirar uma dúvida simples a gente tinha que ir até a recepção. A piscina fica coberta e não pega nenhum sol então a água é extremamente gelada, entrei e sai na mesma hora pois não aguentei o frio. O café da manhã é simples, não tem muita variedade e a Tv do quarto que fiquei não era smart e não pegava nenhum aplicativo pra que a gente pudesse assistir algo, a internet no quarto que eu estava não funcionava bem e ficava desconectando o tempo inteiro, no final, ficamos sem assistir e sem poder usar internet no celular e trabalho com internet então tive que o usar a minha particular.;3;;;;;;;;;;;;;;;;;;;;;;;;;
21 de setembro de 2024;Ruim;Localização próximo da praia.;Atendimento dos funcionários, no quarto não tinha àgua quente, não trocaram as toalhas, café da manã não condiz com as fotos.;3;;;;;;;;;;;;;;;;;;;;;;;;;
