data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
20 de março de 2025;Não iria novamente;A localização é muito boa, perto de supermercado e da praia.;O hotel todo está muito antigo. Meu quarto tinha lençóis e fronhas ralos, quase transparentes;;;;;;;;;;;;;;;;;;;;;;;;;;
20 de março de 2025;Hotel bem localizado e camas confortáveis, mas peça no café da manhã;Ótima localizacao;Café da manhã achei meio ruim, com poucas opções de frutas e de coisas no geral.;8;;;;;;;;;;;;;;;;;;;;;;;;;
19 de março de 2025;Satisfatório;Localização;Instalações carecem de melhorias;6;;;;;;;;;;;;;;;;;;;;;;;;;
19 de março de 2025;Custo benefício bom;Localização. Cama e chuveiro;Ar condicionado e café da manhã e sem opção de TV. Apenas 4 canais analógico.;7;;;;;;;;;;;;;;;;;;;;;;;;;
19 de março de 2025;Bom;;Café, fraco;7;;;;;;;;;;;;;;;;;;;;;;;;;
19 de março de 2025;Bom;Atendimento da equipe, localização, limpeza.;Colchões desconfortáveis e café da manhã com pouca variedade, bolo e suco industrializados (suco de pó).;7;;;;;;;;;;;;;;;;;;;;;;;;;
18 de março de 2025;Hotel bom , funcionários educados !;Gostei muito , hotel bom;Tudo foi bom !;8;;;;;;;;;;;;;;;;;;;;;;;;;
18 de março de 2025;Peca no atendimento. Falta gestão de pessoas.;Localização, café padrão, quarto espaçoso.;Sem dúvidas o atendimento. Falta treinamento, gentileza, vontade em agradar o cliente. Falta gestão. Na noite do dia 16/03/25, 20:00, solicitei um travesseiro adicional. Foi negado. Atendente alegou que não havia um travesseiro disponível. Olhei se havia disponibilidade de reserva nos sites de reserva e haviam vários quartos disponíveis. Solicitei novamente o travesseiro e o atendente negou novamente. Lamentável.;6;;;;;;;;;;;;;;;;;;;;;;;;;
18 de março de 2025;Bom se seu objetivo for economizar.;Localização.;Limpeza, falta modernização e reforma.;6;;;;;;;;;;;;;;;;;;;;;;;;;
17 de março de 2025;Ótima;Localização, café da manhã, ao lado do Carrefour ;;;;;;;;;;;;;;;;;;;;;;;;;;;
